N_OFICIAL,NOMBRE_ESTACION,NOMBRE_GRAFANA,FEWS,GRAFANA,BOLETINES
INUMET-XXX,Termas de Arapey,Termas de Arapey,FALSE,FALSE,FALSE
INUMET-XXX,Tres Bocas,Tres Bocas,FALSE,FALSE,FALSE
INUMET-XXX,Tupambaé,Tupambaé,FALSE,FALSE,FALSE
INUMET-XXX,Valizas,Valizas,FALSE,FALSE,FALSE
INUMET-XXX,Valle Edén,Valle Ed�n,FALSE,FALSE,FALSE
INUMET-XXX,Vera,Vera,FALSE,FALSE,FALSE
INUMET-XXX,Vergara,Vergara,FALSE,FALSE,FALSE
INUMET-XXX,Villa Darwin,Villa Darwin,FALSE,FALSE,FALSE
INUMET-XXX,Villa del Carmen,Villa del Carmen,FALSE,FALSE,FALSE
INUMET-XXX,Villa Rodríguez,Villa Rodríguez,FALSE,FALSE,FALSE
INUMET-XXX,Villa Santa Clara del Olimar,Villa Santa Clara del Olimar,FALSE,FALSE,FALSE
