N_Oficial,Nombre_est,latitude,longitude,geometry,N_DinaguaW,N_UTEWSH,N_UTEWSP,Institucio,Tipo_estac,Parametros,Resolucion,wflow_basi,wflow_outp,WHOS_siteC
INUMET-1334,Lavalleja G3,-34.33591,-55.0841,POINT (-55.0841 -34.33591),INUMET-1334,,,INUMET,Automatica,P,5 min,,,
INUMET-1336,Melo G3,-32.36675,-54.19257,POINT (-54.19257 -32.36675),INUMET-1336,,,INUMET,Automatica,P,5 min,,,
INUMET-609,Mercedes G3,-33.25068,-58.0692,POINT (-58.0692 -33.25068),INUMET-609,,,INUMET,Automatica,P,5 min,,,
INUMET-1554,Minas de Corrales G4,-31.59204,-55.45411,POINT (-55.45411 -31.59204),INUMET-1554,,,INUMET,Automatica,P,5 min,,,
INUMET-603,Paso de los Toros G3,-32.79667,-56.51467,POINT (-56.51467 -32.79667),INUMET-603,,,INUMET,Automatica,P,5 min,,,
INUMET-1333,Paysandú G3,-32.38105,-58.03125,POINT (-58.03125 -32.38105),INUMET-1333,,,INUMET,Automatica,P,5 min,,,
INUMET-652,Prado G3,-34.86064,-56.20765,POINT (-56.20765 -34.86064),INUMET-652,,,INUMET,Automatica,P,5 min,,,
INUMET-1332,Rivera G3,-30.97031,-55.4735,POINT (-55.4735 -30.97031),INUMET-1332,,,INUMET,Automatica,P,5 min,,,
INUMET-590,Rocha G3,-34.49361,-54.3125,POINT (-54.3125 -34.49361),INUMET-590,,,INUMET,Automatica,P,5 min,,,
INUMET-600,Salto G3,-31.43889,-57.98102,POINT (-57.98102 -31.43889),INUMET-600,,,INUMET,Automatica,P,5 min,,,
INUMET-1335,San Jacinto G3,-34.51446,-55.84642,POINT (-55.84642 -34.51446),INUMET-1335,,,INUMET,Automatica,P,5 min,,,
INUMET-1326,Tacuarembó G3,-31.70585,-55.99149,POINT (-55.99149 -31.70585),INUMET-1326,,,INUMET,Automatica,P,5 min,,,
INUMET-1342,Treinta y Tres G3,-33.19674,-54.34822,POINT (-54.34822 -33.19674),INUMET-1342,,,INUMET,Automatica,P,5 min,,,
INUMET-1440,25 de Mayo (TP),-34.198,-56.342,POINT (-56.342 -34.198),INUMET-1440,,,INUMET,Automatica,P,5 min,,,
INUMET-1399,Achar (TP),-32.404,-56.181,POINT (-56.181 -32.404),INUMET-1399,,,INUMET,Automatica,P,5 min,,,
INUMET-1417,Aeropuerto Carrasco (TP),-34.833,-56.013,POINT (-56.013 -34.833),INUMET-1417,,,INUMET,Automatica,P,5 min,,,
INUMET-1423,Aigua (TP),-34.203,-54.768,POINT (-54.768 -34.203),INUMET-1423,,,INUMET,Automatica,P,5 min,,,
INUMET-1382,Andresito (TP),-33.168,-57.129,POINT (-57.129 -33.168),INUMET-1382,,,INUMET,Automatica,P,5 min,,,
INUMET-1437,Arbolito (TP),-32.612,-54.214,POINT (-54.214 -32.612),INUMET-1437,,,INUMET,Automatica,P,5 min,,,
INUMET-1411,Balneario Solís (TP),-34.796,-55.38,POINT (-55.38 -34.796),INUMET-1411,,,INUMET,Automatica,P,5 min,,,
INUMET-1420,Barriga Negra (TP),-33.966,-55.066,POINT (-55.066 -33.966),INUMET-1420,,,INUMET,Automatica,P,5 min,,,
INUMET-1409,Bocas del Cufre (TP),-34.442,-57.146,POINT (-57.146 -34.442),INUMET-1409,,,INUMET,Automatica,P,5 min,,,
INUMET-1425,Cardona (TP),-33.873,-57.37,POINT (-57.37 -33.873),INUMET-1425,,,INUMET,Automatica,P,5 min,,,
INUMET-1439,Cebollati (TP),-33.268,-53.796,POINT (-53.796 -33.268),INUMET-1439,,,INUMET,Automatica,P,5 min,,,
INUMET-1408,Chacra Policial (TP),-34.47,-56.244,POINT (-56.244 -34.47),INUMET-1408,,,INUMET,Automatica,P,5 min,,,
INUMET-1395,Chamanga (TP),-33.714,-56.669,POINT (-56.669 -33.714),INUMET-1395,,,INUMET,Automatica,P,5 min,,,
